Enzyme NextGen-A,,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-B,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-C,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-D,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-E,,,,,,,,,,,,,,,,,,,
,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,
31,0.739,1.364,2.809,5.05,8.767,12.93,18.355,22.542,25.95,29.28,0.744,1.365,2.799,4.782,8.48,12.69,18.099,23.219,25.382,28.047,0.302,0.545,1.149,2.207,4.389,7.013,11.987,15.78,22.501,24.124,0.286,0.552,1.152,2.086,4.135,6.892,11.444,15.988,21.754,22.303,0.766,1.509,2.921,5.041,10.166,15.176,21.339,28.237,33.591,36.434,0.776,1.427,2.658,5.413,10.302,16.151,22.348,27.845,33.175,33.663,0.624,1.179,2.463,4.621,9.091,14.743,24.13,31.22,40.285,42.287,0.651,1.228,2.384,4.37,9.556,14.481,23.775,32.003,38.832,42.027,1.177,2.253,4.185,7.499,14.579,21.436,33.211,36.96,46.356,49.12,1.081,2.275,4.49,6.911,14.569,21.732,31.16,41.093,43.606,47.473
32,0.749,1.517,2.662,5.157,9.569,14.468,19.966,22.386,28.352,29.825,0.729,1.382,2.657,5.471,8.923,14.779,18.329,24.953,27.048,27.335,0.29,0.63,1.197,2.296,4.201,7.187,12.061,16.549,22.097,24.689,0.315,0.589,1.192,2.298,4.177,6.936,12.024,17.085,21.543,24.277,0.771,1.454,2.877,5.587,10.097,15.312,23.158,28.688,32.769,37.261,0.779,1.428,2.796,5.502,10.31,16.465,23.963,27.196,32.631,34.481,0.638,1.268,2.516,5.041,8.881,16.043,24.123,33.913,42.425,48.206,0.687,1.297,2.504,4.816,9.762,14.947,22.607,34.62,41.949,44.259,1.136,2.201,4.412,7.775,14.188,22.824,30.913,39.222,48.441,50.135,1.135,2.345,4.622,7.692,15.335,22.131,30.932,38.124,44.275,51.157
33,0.747,1.487,2.915,5.641,9.11,14.441,19.617,24.917,27.194,29.05,0.733,1.532,2.927,5.421,9.388,13.828,19.095,24.328,28.574,29.379,0.297,0.631,1.227,2.378,4.566,7.193,11.834,17.37,22.528,24.963,0.333,0.611,1.25,2.215,4.359,7.575,12.212,17.596,23.355,23.438,0.758,1.627,2.934,5.421,9.959,17.14,22.262,31.193,35.049,36.907,0.775,1.614,2.999,5.607,10.142,16.694,24.166,28.929,33.289,36.39,0.668,1.32,2.585,4.839,9.987,15.696,24.657,32.234,41.601,46.062,0.663,1.311,2.707,4.745,9.405,16.176,25.241,35.548,42.972,48.607,1.141,2.274,4.713,7.693,15.99,22.598,32.055,41.465,49.908,51.725,1.244,2.438,4.437,7.545,16.064,24.832,34.016,40.148,45.131,51.936
34,0.782,1.55,2.773,5.588,9.499,14.598,20.515,23.78,28.489,31.514,0.73,1.576,3.019,5.527,9.487,14.447,20.102,25.139,27.871,31.858,0.307,0.669,1.256,2.539,4.509,8.067,12.179,18.042,23.765,23.813,0.307,0.659,1.228,2.285,4.532,7.519,12.832,17.946,24.353,24.702,0.812,1.64,2.966,5.796,10.433,16.185,24.79,32.281,36.981,40.508,0.836,1.594,3.052,6.032,10.284,17.123,23.008,29.647,34.518,36.695,0.652,1.363,2.728,5.294,10.032,15.498,25.405,35.535,42.138,49.559,0.732,1.298,2.556,5.194,9.779,16.793,25.6,33.694,43.332,49.502,1.249,2.303,4.594,8.323,15.825,24.426,35.69,40.407,49.125,50.473,1.163,2.386,4.489,7.704,16.572,24.771,34.172,44.305,46.615,51.235
35,0.765,1.567,2.845,5.659,10.004,16.021,19.779,27.181,29.074,33.241,0.789,1.583,3.056,5.878,10.233,15.707,21.907,26.719,29.239,32.015,0.335,0.651,1.269,2.587,4.795,7.594,12.611,19.071,24.275,24.58,0.35,0.657,1.331,2.336,4.626,7.857,12.18,17.497,23.159,25.426,0.771,1.63,3.086,6.039,11.094,16.348,24.168,30.563,37.328,41.47,0.811,1.684,3.182,5.657,11.311,17.862,23.999,32.498,35.461,41.218,0.705,1.304,2.84,5.077,10.572,17.86,26.329,36.509,42.597,48.022,0.736,1.335,2.684,5.133,9.877,16.468,26.24,35.395,43.593,49.947,1.318,2.459,4.698,7.815,16.334,23.916,33.342,45.525,51.636,55.48,1.224,2.467,4.495,7.795,16.815,23.443,37.056,41.995,48.566,57.472
36,0.851,1.624,3.092,5.518,9.905,15.703,22.362,27.857,29.778,33.485,0.773,1.525,2.909,6.112,10.524,15.443,22.186,27.962,28.844,32.033,0.349,0.636,1.274,2.576,5.186,8.307,12.895,18.99,25.485,27.332,0.35,0.676,1.335,2.42,4.725,8.705,13.527,19.181,25.592,26.227,0.855,1.704,3.169,5.765,11.185,17.099,26.434,33.134,39.598,39.756,0.813,1.744,3.353,6.025,11.725,17.13,25.544,31.336,36.341,42.769,0.73,1.478,2.903,5.362,10.184,16.96,28.096,36.191,43.512,49.312,0.743,1.341,2.714,5.298,10.619,16.907,25.701,36.205,44.355,53.192,1.303,2.41,4.639,8.421,15.916,26.498,36.235,47.488,53.312,55.303,1.248,2.521,4.934,8.669,17.307,24.306,34.676,44.846,52.644,53.416
37,0.861,1.626,3.079,5.798,10.282,15.525,21.389,28.185,30.521,32.522,0.818,1.573,3.239,6.237,10.416,15.647,21.946,26.183,32.057,34.971,0.349,0.7,1.387,2.69,5.103,8.77,13.169,18.555,24.803,27.361,0.355,0.657,1.356,2.5,5.014,8.917,13.099,18.278,26.878,27.872,0.826,1.713,3.31,5.968,11.086,17.667,25.709,32.986,38.06,42.032,0.84,1.705,3.2,5.871,11.543,17.657,26.51,31.981,38.656,43.339,0.707,1.505,2.83,5.268,10.258,17.105,26.499,37.883,48.922,50.924,0.784,1.404,2.977,5.359,10.25,16.921,28.045,35.976,47.204,54.612,1.258,2.658,4.724,8.771,16.806,25.376,37.086,48.446,55.036,56.527,1.273,2.646,4.777,8.603,17.206,25.847,36.781,46.062,51.922,56.842
38,0.873,1.662,3.181,6.32,10.801,16.201,23.774,27.226,31.551,36.005,0.886,1.6,3.307,6.049,10.826,16.437,22.996,29.04,31.287,32.972,0.348,0.704,1.462,2.623,4.975,8.96,13.639,19.884,27.578,26.886,0.373,0.685,1.456,2.618,5.457,8.258,14.024,20.395,26.9,29.161,0.875,1.69,3.502,6.232,11.795,18.179,27.215,34.517,39.1,44.679,0.834,1.823,3.476,5.998,11.307,18.929,26.194,35.102,40.537,43.672,0.745,1.519,2.812,5.854,10.851,18.051,28.547,36.83,48.577,57.022,0.77,1.424,3.021,5.619,10.357,18.668,28.073,40.12,47.331,53.496,1.271,2.522,4.936,8.244,17.247,26.626,36.781,48.32,57.325,60.811,1.395,2.584,5.056,8.478,18.184,27.934,36.714,48.054,55.138,57.517
39,0.903,1.688,3.347,6.012,11.158,16.31,24.231,28.94,32.319,33.382,0.841,1.717,3.277,6.549,11.411,17.643,22.044,29.604,33.51,35.453,0.374,0.757,1.45,2.61,5.482,8.496,13.921,19.965,26.617,29.084,0.356,0.749,1.43,2.596,5.1,9.265,13.847,20.753,27.662,29.445,0.863,1.722,3.553,6.279,12.662,19.819,27.552,34.862,41.803,42.253,0.882,1.784,3.487,6.666,12.258,18.925,25.986,35.542,41.204,46.145,0.751,1.497,3.122,5.624,10.932,18.373,28.495,40.986,51.653,54.437,0.773,1.543,2.847,5.699,11.487,19.611,28.684,41.195,50.406,54.561,1.361,2.609,4.894,9.271,16.882,26.022,40.569,47.44,55.839,58.479,1.353,2.667,4.9,8.855,17.757,27.908,40.151,50.454,58.224,61.172
40,0.919,1.798,3.384,6.457,11.181,17.286,23.53,30.182,34.079,35.301,0.897,1.719,3.497,6.082,11.514,17.934,23.279,29.39,32.541,36.104,0.395,0.727,1.502,2.708,5.576,9.556,14.379,20.652,26.453,28.136,0.394,0.725,1.462,2.774,5.612,9.26,14.072,20.23,27.28,30.47,0.887,1.795,3.424,6.668,11.946,20.25,27.966,34.908,43.927,47.318,0.945,1.868,3.629,6.264,11.852,19.225,26.688,36.727,41.325,43.903,0.836,1.496,3.179,5.682,11.757,18.68,28.923,42.198,50.543,56.955,0.812,1.565,3.201,6.061,10.952,19.844,31.063,40.279,48.694,56.003,1.423,2.595,5.422,9.158,17.867,28.289,38.381,48.2,58.1,63.707,1.357,2.762,5.141,8.681,17.915,26.566,40.271,48.187,58.055,64.239
41,0.888,1.811,3.463,6.494,11.594,16.94,23.339,29.691,33.351,36.952,0.888,1.719,3.502,6.224,11.317,17.388,23.993,29.641,35.8,36.498,0.37,0.757,1.48,2.95,5.828,9.362,15.03,20.05,29.325,30.735,0.375,0.758,1.538,2.877,5.544,9.175,15.445,20.41,29.399,30.778,0.928,1.832,3.444,6.478,12.519,19.607,29.548,35.879,43.219,47.68,0.913,1.906,3.518,6.631,12.992,19.344,29.079,37.203,40.908,44.736,0.838,1.585,3.277,6.133,11.999,20.112,30.907,41.349,51.12,61.409,0.825,1.556,3.071,5.853,11.198,20.002,29.831,41.439,51.159,55.941,1.448,2.87,5.473,9.469,18.597,27.314,41.091,50.285,58.953,61.531,1.371,2.828,5.124,9.509,18.981,29.356,39.629,50.945,60.901,65.126
42,0.962,1.773,3.498,6.462,11.432,18.002,24.539,30.715,34.417,36.576,0.936,1.841,3.43,6.634,12.178,18.734,25.435,30.206,33.669,39.074,0.395,0.771,1.592,2.947,5.802,9.953,15.59,21.071,27.652,29.501,0.391,0.796,1.539,2.998,5.695,9.534,15.575,22.407,29.222,31.645,0.972,1.882,3.522,6.562,13.569,20.491,28.694,36.299,44.353,49.041,0.915,1.992,3.536,6.678,12.418,20.11,28.196,37.438,42.709,48.057,0.822,1.682,3.094,6.326,11.939,20.213,31.367,41.54,55.535,58.03,0.809,1.64,3.143,6.052,12.232,20.148,30.668,43.71,52.917,61.666,1.429,2.918,5.682,9.577,19.619,28.324,42.993,52.399,62.224,63.71,1.423,2.819,5.346,9.193,18.502,30.153,40.184,50.294,61.298,66.824
43,0.983,1.908,3.585,6.775,12.316,18.522,25.415,30.341,35.205,37.343,0.992,1.892,3.593,7.017,11.519,18.887,24.929,30.498,35.584,38.349,0.402,0.761,1.584,2.975,5.653,10.131,16.095,22.676,29.359,32.672,0.399,0.798,1.565,2.87,6.052,9.764,15.745,21.805,29.895,32.183,1.017,2.016,3.833,7.287,13.139,20.386,29.405,37.684,46.78,50.781,0.989,1.975,3.851,6.816,13.186,20.322,30.669,40.14,43.341,48.678,0.855,1.677,3.267,6.346,11.947,21.304,32.721,45.29,52.647,61.288,0.86,1.642,3.165,6.338,11.908,21.356,31.994,43.22,53.685,60.634,1.495,2.788,5.784,9.577,19.876,28.517,43.419,55.144,64.34,68.854,1.458,2.845,5.489,9.642,18.409,28.44,43.975,51.195,62.283,68.297
44,0.981,2,3.545,7.097,12.091,17.949,25.383,33.676,38.358,37.944,0.975,1.876,3.469,7.024,12.575,19.414,25.215,33.435,36.569,41.141,0.406,0.823,1.553,3.177,6.06,10.306,15.388,21.642,29.718,30.962,0.398,0.782,1.655,3.192,5.96,9.789,16.151,22.945,30.164,32.773,0.95,1.91,3.91,7.407,13.813,21.784,30.918,38.671,46.431,48.045,1.016,2.011,3.67,6.843,13.521,21.24,31.725,39.057,47.363,49.819,0.886,1.705,3.182,6.528,12.448,20.789,32.813,44.014,53.352,61.027,0.837,1.656,3.28,6.456,12.932,19.918,32.117,44.069,57.361,60.617,1.494,2.971,5.505,9.441,19.37,29.287,43.533,55.927,65.752,70.664,1.53,2.891,5.514,10.018,19.903,30.926,42.731,53.519,63.82,69.013
45,0.947,1.904,3.725,7.107,11.994,18.829,27.629,32.103,38.971,41.414,1.002,1.947,3.776,6.791,12.72,18.578,26.052,31.87,37.583,39.76,0.429,0.857,1.693,3.186,6.058,10.368,17.019,22.402,31.939,34.029,0.434,0.825,1.72,3.242,6.27,10.694,16.544,22.323,31.883,33.367,1.032,2.041,3.805,7.608,14.239,21.795,31.324,38.799,48.36,50.103,0.987,2.004,3.88,7.259,13.784,21.612,30.615,38.493,48.221,48.845,0.873,1.777,3.508,6.562,12.243,20.721,32.92,47.632,55.066,65.717,0.882,1.766,3.48,6.771,12.66,22.098,31.759,44.083,55.014,65.523,1.568,3.011,5.699,9.802,20.082,31.281,43.187,57.11,63.471,67.629,1.573,3.102,5.685,9.726,20.695,30.127,44.295,54.703,65.475,69.588
46,0.969,1.949,3.925,7.111,12.241,20.151,28.148,33.572,38.255,42.118,1.046,1.991,3.884,7.311,12.355,20.041,27.161,33.169,39.102,41.553,0.447,0.871,1.638,3.242,6.368,10.19,16.569,23.587,32.691,32.624,0.443,0.871,1.689,3.141,6.262,10.259,16.552,24.149,31.692,33.2,1.048,2.091,3.906,7.268,14.096,21.394,31.935,40.854,46.979,51.425,1.014,1.984,3.917,7.304,13.909,21.602,32.147,41.839,49.265,49.95,0.879,1.824,3.328,6.792,12.483,21.027,32.583,46.375,59.954,67.337,0.912,1.715,3.534,6.652,13.313,21.74,34.453,47.879,57.764,66.467,1.525,3.097,6.06,9.931,20.674,30.471,44.177,54.821,68.163,68.869,1.491,3.045,5.754,9.93,20.353,30.316,44.997,58.087,64.363,74.383
47,1.039,2.002,3.871,7.357,12.535,20.66,28.834,34.069,39.717,41.038,1.05,2.069,3.997,7.593,12.608,19.79,27.801,33.976,40.398,41.486,0.442,0.84,1.681,3.155,6.419,10.821,16.727,24.373,33.2,35.093,0.428,0.852,1.696,3.388,6.138,10.239,16.725,23.105,31.603,35.555,1.037,2.163,4.063,7.811,13.936,22.495,33.494,42.495,47.705,53.556,1.063,2.165,3.893,7.417,13.843,21.923,31.194,43.125,50.979,51.154,0.955,1.801,3.458,6.768,12.896,21.791,35.705,46.791,61.767,64.925,0.926,1.752,3.662,7.059,12.61,22.168,33.727,48.032,58.508,66.088,1.543,3.057,5.988,10.313,21.505,32.701,44.739,56.219,67.208,74.381,1.539,3.079,5.79,10.665,20,32.692,46.858,57.382,66.244,76.129
48,1.076,2,3.796,7.372,12.921,19.86,27.862,33.752,38.363,41.571,1.075,2.06,3.924,7.579,12.864,21.135,29.247,35.392,38.714,43.563,0.451,0.912,1.807,3.29,6.767,11.18,16.987,24.636,34.174,34.789,0.453,0.904,1.802,3.445,6.533,11.102,17.814,25.301,33.973,36.435,1.066,2.064,4.125,7.975,14.335,23.264,34.536,41.108,52.132,55.887,1.076,2.065,4.146,7.874,14.371,22.413,32.375,41.872,48.588,54.477,0.943,1.768,3.597,6.926,13.56,22.513,34.474,49.289,62.968,67.224,0.911,1.827,3.572,6.99,12.85,22.971,35.6,46.702,58.577,67.137,1.559,3.056,5.917,10.129,20.8,31.463,48.658,58.306,70.957,75.109,1.609,3.251,5.999,10.517,20.713,32.869,47.671,59.684,70.3,71.953
49,1.05,2.169,4.017,7.727,13.299,20.183,27.891,34.974,41.871,43.408,1.072,2.098,3.825,7.685,13.299,20.388,29.574,34.832,42.344,44.746,0.439,0.885,1.803,3.48,6.709,11.322,17.462,24.27,35.064,35.191,0.445,0.896,1.843,3.526,6.643,10.783,17.343,25.47,34.642,35.191,1.111,2.192,4.208,7.934,14.589,23.986,34.834,44.641,49.17,55.526,1.12,2.188,4.269,7.739,14.672,22.373,33.372,42.816,52.431,54.444,0.991,1.802,3.614,7.186,13.734,23.594,35.215,51.393,63.467,68.143,0.924,1.822,3.763,6.773,14.147,22.28,36.343,48.68,63.162,69.516,1.638,3.177,6.11,10.404,20.949,33.815,48.294,58.75,71.059,78.125,1.65,3.134,5.957,10.69,22.083,33.59,46.352,62.717,71.782,76.159
50,1.115,2.156,3.958,8.065,14.086,21.859,29.096,36.806,40.527,43.567,1.086,2.167,3.965,7.98,13.356,20.773,29.907,35.598,40.463,44.573,0.452,0.942,1.787,3.526,6.844,11.317,18.071,26.506,34.819,36.312,0.484,0.905,1.815,3.585,6.714,11.62,18.319,26.34,35.666,36.929,1.15,2.26,4.433,8.289,15.433,24.516,34.32,43.879,51.545,55.097,1.121,2.227,4.269,7.911,14.604,23.927,34.388,44.371,50.348,56.193,0.978,1.953,3.607,7.327,13.837,23.021,37.374,49.008,61.936,72.431,1.007,1.814,3.608,7.32,14.349,23.196,36.771,49.454,64.086,70.119,1.673,3.134,6.215,10.498,21.485,32.845,47.841,63.643,69.422,75.403,1.62,3.278,6.308,10.505,21.002,33.337,48.613,60.605,71.321,75.693
51,1.12,2.138,3.995,8.168,14.511,20.744,30.288,36.8,43.125,45.862,1.091,2.158,4.186,7.664,13.846,21.036,29.644,36.004,43.873,46.282,0.468,0.939,1.89,3.547,6.636,11.623,19.024,26.902,35.364,36.782,0.468,0.958,1.832,3.5,6.785,11.475,18.203,25.726,35.501,36.232,1.103,2.257,4.309,8.322,15.264,23.294,35.213,46.723,53.072,59.854,1.146,2.202,4.289,8.318,15.78,23.682,34.203,46.648,53.495,55.569,0.975,1.958,3.746,7.295,14.334,23.309,37.263,51.199,61.646,74.948,1.003,1.915,3.75,7.394,14.137,23.696,36.534,51.98,65.337,70.751,1.612,3.279,6.156,11.043,22.613,34.179,50.571,61.033,71.699,78.643,1.721,3.197,6.531,10.933,22.824,35.362,50.468,63.195,72.219,77.391
52,1.154,2.13,4.345,7.869,14.245,21.082,30.29,37.288,43.976,46.783,1.146,2.131,4.279,7.821,14.737,21.654,31.246,38.062,42.442,46.765,0.479,0.976,1.861,3.466,6.962,12.168,18.302,27.232,36.673,37.497,0.484,0.93,1.964,3.674,6.996,11.664,18.893,26.676,35.638,37.269,1.165,2.296,4.564,8.518,15.688,24.017,36.441,45.785,53.83,59.92,1.124,2.205,4.364,8.46,15.701,24.06,36.413,44.327,53.639,60.364,0.988,1.994,3.86,7.662,14.133,24.721,36.647,52.81,63.111,72.688,1.028,1.881,3.791,7.671,14.716,25.064,37.591,53.705,66.214,76.064,1.635,3.257,6.459,10.854,21.862,33.719,51.238,65.679,71.682,83.367,1.638,3.333,6.604,10.784,22.296,36.029,49.595,64.171,72.262,83.213
53,1.158,2.222,4.3,7.873,14.504,22.586,31.704,38.605,43.688,45.884,1.16,2.18,4.24,8.095,13.99,22.636,31.844,37.757,44.203,49.024,0.479,0.992,1.997,3.523,7.389,12.055,19.305,27.993,37.341,39.171,0.478,0.983,1.895,3.72,6.968,12.396,18.652,26.933,36.82,38.613,1.174,2.345,4.436,8.276,15.928,24.894,35.252,45.944,53.476,62.194,1.133,2.346,4.636,8.163,15.99,25.231,36.382,45.786,56.293,60.528,1.003,2.029,3.971,7.682,14.923,24.49,39.419,54.545,64.143,77.399,0.996,1.963,3.961,7.624,15.128,24.799,37.697,51.887,64.497,74.026,1.74,3.277,6.653,11.339,23.514,36.481,49.632,63.695,74.45,80.714,1.745,3.336,6.349,11.247,23.271,36.45,50.912,67.41,73.061,81.595
54,1.138,2.238,4.305,8.064,14.885,22.136,31.373,38.202,46.36,48.246,1.158,2.299,4.427,8.151,15.197,22.416,32.702,39.623,45.014,50.24,0.489,0.989,1.957,3.68,7.447,12.398,19.913,28.439,36.551,40.984,0.491,0.963,1.927,3.701,7.302,12.243,19.402,26.821,37.154,39.901,1.157,2.363,4.685,8.336,16.597,24.72,37.024,49.385,57.616,62.861,1.15,2.28,4.586,8.845,15.875,25.22,37.68,49.302,56.636,60.018,1.063,1.966,3.856,7.909,14.535,25.076,38.482,54.815,65.374,74.764,1.001,2.04,3.904,7.848,14.757,25.563,37.935,56.24,67.375,76.741,1.738,3.353,6.528,11.704,23.875,37.322,50.87,68.2,77.67,85.099,1.739,3.486,6.764,11.904,22.799,36.538,52.601,68.067,76.287,84.498
55,1.173,2.236,4.525,8.669,14.52,22.98,33.252,41.238,46.47,51.146,1.212,2.342,4.357,8.459,14.759,23.059,33.283,40.451,45.622,47.797,0.499,1.027,2.055,3.704,7.513,12.076,20.452,28.037,38.669,40.327,0.506,0.985,1.983,3.816,7.56,12.777,19.894,28.39,38.953,39.14,1.235,2.44,4.685,8.441,16.16,26.238,38.552,47.472,55.63,60.17,1.22,2.358,4.724,8.78,16.529,26.168,37.166,49.341,58.512,63.159,1.069,2.033,4.171,7.589,14.959,25.29,39.713,54.78,71.07,76.37,1.055,2.004,3.958,7.697,14.948,25.939,39.719,55.365,68.409,75.937,1.766,3.474,6.842,11.98,22.779,37.254,52.956,66.042,80.192,85.683,1.824,3.486,6.563,11.739,24.355,36.05,52.061,67.499,79.044,86.194
56,1.205,2.326,4.384,8.765,15.381,23.873,33.705,39.805,45.175,50.044,1.186,2.407,4.34,8.52,15.546,23.803,32.37,40.621,45.078,50.469,0.527,1.036,2.044,3.762,7.594,12.915,20.679,27.745,39.315,40.874,0.51,0.995,2.04,3.717,7.633,12.59,20.605,29.442,38.534,41.757,1.203,2.407,4.659,9.047,17.256,26.766,39.189,48.2,56.537,63.318,1.18,2.44,4.62,8.651,17.017,27.158,38,50.617,56.189,62.576,1.081,2.039,4.128,7.792,15.787,25.435,39.226,54.877,68.378,78.798,1.104,2.089,4.189,7.657,15.26,25.205,39.614,55.13,70.031,77.187,1.809,3.418,6.773,11.806,23.384,37.983,54.181,67.536,81.527,86.782,1.729,3.417,6.96,11.631,23.409,36.779,54.893,69.666,79.945,89.398
57,1.207,2.4,4.654,8.857,15.149,23.791,33.707,42.235,47.21,51.271,1.173,2.385,4.403,8.876,15.559,24.248,33.215,40.161,46.005,52.285,0.525,1.042,2.069,3.808,7.778,12.68,20.988,29.398,37.776,42.868,0.531,1.053,2.043,3.986,7.897,12.958,20.22,29.582,38.605,42,1.244,2.445,4.731,8.874,17.147,26.298,39.675,51.938,58.368,64.277,1.236,2.452,4.671,8.681,16.576,26.174,37.826,50.357,59.757,66.403,1.074,2.08,4.02,7.875,15.805,25.986,40.692,55.193,71.172,78.561,1.105,2.087,4.152,7.855,15.696,25.566,42.509,58.685,70.769,81.64,1.838,3.63,7.124,12.254,23.746,38.367,55.655,67.774,80.347,89.364,1.753,3.543,6.662,11.912,23.88,36.687,56.459,68.181,78.775,85.603
58,1.184,2.407,4.715,8.863,15.116,24.842,33.505,43.293,47.954,53.513,1.201,2.474,4.472,8.855,16.015,23.648,34.008,43.172,46.828,52.332,0.545,1.059,2.089,4.045,8.048,13.3,21.208,28.635,41.037,42.678,0.522,1.023,2.033,4.084,7.748,13.481,20.326,30.429,39.021,42.111,1.264,2.519,4.846,9.217,16.897,27.147,38.633,49.38,60.71,66.831,1.231,2.575,4.727,9.247,17.163,26.181,38.571,52.005,58.866,63.519,1.126,2.182,4.333,8.365,16.06,26.005,43.023,58.637,70.9,80.146,1.126,2.133,4.124,7.871,16.158,26.631,41.17,58.832,71.61,79.871,1.89,3.587,7.213,12.436,24.988,37.845,54.478,69.825,81.505,90.96,1.865,3.657,7.07,12.046,23.709,38.765,53.8,68.96,84.265,88.772
59,1.255,2.514,4.525,9.046,16.29,24.359,33.456,42.805,47.271,54.037,1.28,2.415,4.674,8.935,15.617,24.66,34.517,43.553,50.043,54.758,0.527,1.047,2.125,4.066,8.113,12.86,21.339,29.139,39.949,44.252,0.542,1.038,2.189,3.931,7.768,13.057,20.66,30.192,40.646,44.071,1.295,2.544,4.757,9.169,17.275,27.754,41.471,51.615,60.722,68.754,1.227,2.471,4.955,8.927,17.448,28.22,40.359,50.323,59.981,65.504,1.091,2.121,4.294,8.374,15.639,27.622,41.914,59.826,72.282,83.42,1.125,2.158,4.417,8.042,16.511,27.693,41.092,59.536,74.849,82.484,1.913,3.616,6.841,12.707,24.79,39.186,57.688,69.621,83.811,89.886,1.826,3.551,6.99,12.386,24.941,37.833,56.669,72.115,82.268,89.737
60,1.29,2.456,4.87,9.123,16.287,24.195,33.938,44.03,48.598,52.166,1.27,2.506,4.819,9.23,16.43,24.116,34.713,42.348,48.128,55.535,0.558,1.075,2.147,4.069,7.785,13.176,22.06,30.571,41.115,43.41,0.555,1.091,2.183,4.079,7.986,13.312,20.883,31.143,40.192,44.847,1.305,2.537,4.954,9.495,17.371,27.587,41.229,52.196,62.298,66.303,1.272,2.635,5.045,9.126,17.152,27.43,42.078,53.62,61.885,65.953,1.17,2.256,4.365,8.32,16.571,27.947,43.899,58.412,75.78,84.307,1.104,2.207,4.367,8.42,16.787,26.998,42.867,61.352,73.253,85.59,1.839,3.782,6.962,12.262,25.571,38.373,57.126,72.348,83.697,91.695,1.884,3.808,7.082,12.197,24.718,38.725,56.62,72.289,84.436,93.149
61,1.265,2.476,4.912,9.265,16.76,25.216,34.695,44.622,49.629,55.42,1.252,2.548,4.798,9.314,16.383,24.558,36.237,43.554,51.238,52.954,0.546,1.076,2.224,4.252,8.312,14.03,21.443,31.082,41.26,45.945,0.556,1.092,2.232,4.254,8.211,13.988,26.108,31.504,41.447,43.397,1.328,2.583,4.964,9.523,18.188,27.523,40.071,55.241,64.144,67.146,1.318,2.599,4.976,9.745,17.846,28.671,41.044,54.979,61.797,67.406,1.146,2.199,4.409,8.528,16.191,28.543,45.022,62.859,74.715,89.19,1.184,2.209,4.34,8.718,16.49,28.605,44.962,61.676,76.838,84.844,1.908,3.767,7.314,12.546,26.044,39.437,58.248,71.974,87.043,91.507,1.87,3.725,7.247,12.925,25.568,39.062,57.112,74.528,88.667,93.634
62,1.286,2.486,4.999,9.135,16.332,26.028,36.189,43.559,51.105,55.993,1.276,2.482,4.777,9.352,16.682,24.843,35.227,45.658,52.971,55.316,0.555,1.131,2.223,4.272,8.166,13.696,22.704,32.507,41.398,46.359,0.557,1.122,2.207,4.176,8.34,14.054,31.574,31.631,41.196,45.973,1.321,2.7,5.172,9.332,17.811,29.561,41.648,56.173,62.583,72.133,1.363,2.71,5.204,9.392,18.694,28.406,40.721,54.354,63.767,68.208,1.191,2.218,4.367,8.337,16.216,28.401,44.346,60.129,75.291,85.701,1.148,2.207,4.366,8.692,16.38,28.096,43.075,61.414,79.568,90.633,1.906,3.78,7.412,12.792,25.992,40.333,58.798,75.85,88.707,96.47,1.942,3.776,7.215,12.831,26.266,40.216,60.115,75.424,90.139,96.155
63,1.3,2.506,4.956,9.665,17.237,25.493,35.569,44.892,51.465,57.778,1.339,2.641,5.063,9.528,17.015,26.162,35.481,45.648,51.529,55.995,0.574,1.128,2.3,4.3,8.657,13.901,21.861,32.192,43.251,46.655,0.567,1.15,2.263,4.197,8.275,14.004,32.594,32.1,44.463,44.758,1.349,2.731,5.06,9.691,18.141,28.539,42.317,54.686,65.408,71.388,1.336,2.645,5.19,9.536,18.667,28.676,41.635,56.877,65.614,70.774,1.21,2.286,4.439,8.76,16.462,28.613,45.959,61.376,77.426,89.617,1.166,2.335,4.391,8.555,16.468,29.286,45.086,62.536,77.768,88.529,1.915,3.756,7.376,13.189,26.469,42.205,61.161,74.784,91.114,97.17,1.915,3.798,7.378,13.279,26.328,41.349,60.543,76.132,91.407,96.099
64,1.335,2.639,4.891,9.411,16.716,26.204,36.216,46.747,51.938,58.776,1.356,2.561,5.026,9.454,17.249,26.973,37.039,46.675,52.581,56.774,0.573,1.127,2.278,4.238,8.332,14.078,22.562,31.844,44.734,45.87,0.575,1.161,2.371,4.25,8.788,14.586,33.248,31.845,43.272,45.815,1.341,2.785,5.111,9.624,18.618,28.626,44.484,55.27,65.207,73.121,1.387,2.645,5.385,10.015,18.502,29.825,41.927,56.26,64.373,72.019,1.197,2.369,4.672,9.097,16.721,29.128,45.357,62.137,80.796,91.083,1.197,2.36,4.661,8.865,16.691,29.98,45.031,62.953,82.085,87.905,1.937,3.791,7.442,13.292,25.895,42.18,58.641,79.503,91.262,97.659,1.958,3.903,7.499,13.35,25.763,41.221,60.561,78.867,91.722,98.885
